bag,relative_sec,level,message
25july.bag,29.2997764,30,"Rejected frontier (7.04, 7.21): no safe interior on-path goal; 301 rejected samples (costmap: cost threshold exceeded=31, costmap: unknown cell in safety area=52, maximum backward search distance reached=1, unknown occupancy cell in clearance circle=218)."
25july.bag,29.623787013,20,Cached 42-pose ComputePathToPose path for goal sequence 2 in frame map.
25july.bag,29.63016744,20,"Frontier (9.24, 12.71) selected with score 3.107; safe interior goal is (6.30, 12.79), 2.59 m back along its Nav2 path after rejecting 259 samples; unknown clearance=>=0.15 m, occupied clearance=>=0.15 m, costmap center cost=0."
25july.bag,29.630583291,20,"Sending NavigateToPose frontier goal (6.30, 12.79)."
25july.bag,29.636113119,20,"Nav2 accepted frontier goal (6.30, 12.79)."
25july.bag,29.637034314,20,Active goal cost=0 maximum-area-cost=0 safety=safe.
25july.bag,31.642342193,20,Nav2 reached the frontier goal.
25july.bag,31.642862165,20,Frontier exploration resumed from IDLE.
25july.bag,31.744597965,30,"Rejected frontier (7.19, 7.81): endpoint clearance 0.08 m is below required 0.10 m."
25july.bag,31.745477219,30,"Rejected frontier (6.64, 7.66): endpoint clearance 0.04 m is below required 0.10 m."
25july.bag,31.746095261,30,"Rejected frontier (6.49, 7.56): endpoint clearance 0.08 m is below required 0.10 m."
25july.bag,31.747185331,30,"Rejected frontier (5.74, 9.16): endpoint clearance 0.03 m is below required 0.10 m."
25july.bag,31.748749556,30,"Rejected frontier (9.39, 12.91): endpoint clearance 0.03 m is below required 0.10 m."
25july.bag,31.749401262,30,"Rejected frontier (11.19, 14.51): endpoint clearance 0.04 m is below required 0.10 m."
25july.bag,31.750836718,30,"Rejected frontier (10.99, 15.31): endpoint clearance 0.08 m is below required 0.10 m."
25july.bag,31.751271075,30,"Rejected frontier (11.19, 15.61): endpoint clearance 0.08 m is below required 0.10 m."
25july.bag,31.754484478,30,"Rejected frontier (7.84, 15.51): endpoint clearance 0.03 m is below required 0.10 m."
25july.bag,31.755067842,30,"Rejected frontier (8.24, 15.66): endpoint clearance 0.08 m is below required 0.10 m."
